           idx          time           r_x           r_y           r_z           v_x           v_y           v_z        d_core       d_shell         T_par         T_env         humid          vw_x          vw_y          vw_z           m_c           m_s           f_x           f_y           f_z          core        active
  1.000000      0.000000    -0.3949311     0.3555987      1.751081     -21.03899      18.74557     -5.227363      5.254050      33.76834      297.1509      300.0000     0.1000000      10.00000      0.000000      0.000000      75941.84     0.2008578E+08  0.000000      0.000000      0.000000      0.000000      1.000000    
  2.000000      0.000000     0.1980252     0.5908468E-01  1.349138     -1.990310     -6.041011      19.21562     0.1722502      205.9358      294.2663      300.0000     0.1000000      10.00000      0.000000      0.000000      2.675951     0.4572926E+10  0.000000      0.000000      0.000000      0.000000      1.000000    
  3.000000      0.000000     0.2200102    -0.3127980      1.589900      12.45429      14.54608      16.12894      3.575484      114.3926      297.9143      300.0000     0.1000000      10.00000      0.000000      0.000000      23933.32     0.7837522E+09  0.000000      0.000000      0.000000      0.000000      1.000000    
  4.000000      0.000000     0.1322192     0.3026362E-02  1.857338      2.268251      6.628916      18.54921      9.246061      830.2883      303.4528      300.0000     0.1000000      10.00000      0.000000      0.000000      413874.8     0.2996987E+12  0.000000      0.000000      0.000000      0.000000      1.000000    
  5.000000      0.000000     0.4868743     0.4957649      1.806001     -10.46010      3.026431      17.07232      8.365735      607.1481      305.9760      300.0000     0.1000000      10.00000      0.000000      0.000000      306556.7     0.1171875E+12  0.000000      0.000000      0.000000      0.000000      1.000000    
  6.000000      0.000000    -0.4643212    -0.2244682      1.485865     -3.537085      6.378494      21.41358     0.2749406      651.8332      298.1799      300.0000     0.1000000      10.00000      0.000000      0.000000      10.88216     0.1450134E+12  0.000000      0.000000      0.000000      0.000000      1.000000    
  7.000000      0.000000     0.2124086     0.4245196E-01  1.618522     -19.17176      5.396633      18.98460      8.583246      156.8828      300.7338      300.0000     0.1000000      10.00000      0.000000      0.000000      331095.5     0.2021405E+10  0.000000      0.000000      0.000000      0.000000      1.000000    
  8.000000      0.000000    -0.4132021     0.3629566      1.112984      11.52133      14.62415      19.41330      6.729428      407.0933      294.1001      300.0000     0.1000000      10.00000      0.000000      0.000000      159563.3     0.3532471E+11  0.000000      0.000000      0.000000      0.000000      1.000000    
  9.000000      0.000000     0.3393926     0.4572813      1.860449     -10.96864     -5.640858     -11.77820      3.162623      379.0789      302.2270      300.0000     0.1000000      10.00000      0.000000      0.000000      16563.07     0.2852248E+11  0.000000      0.000000      0.000000      0.000000      1.000000    
  10.00000      0.000000     0.1045864     0.2627266      1.140378     -15.11448      21.49510      10.38201      4.392827      459.0790      307.8870      300.0000     0.1000000      10.00000      0.000000      0.000000      44384.45     0.5065946E+11  0.000000      0.000000      0.000000      0.000000      1.000000    
